ClientNr,Vestiging,Leeftijd,Geslacht,Lengte,Gewicht
-6029906095443560000,Heerlen,41,Vrouw,NULL,NULL
-6031559645258160000,Eindhoven,45,Man,NULL,NULL
-195906201704036000,Maastricht,54,Vrouw,NULL,NULL
-2827158427909310000,Roermond,50,Vrouw,NULL,NULL
-6625904164005090000,Sittard-Geleen,50,Man,NULL,NULL
-3068131664020270000,Maastricht,50,Vrouw,NULL,NULL
8654146632846710000,Maastricht,52,Vrouw,NULL,NULL
3119319930623070000,Eindhoven,28,Man,NULL,NULL
-8710655431078350000,Maastricht,47,Vrouw,NULL,NULL
-3992918151366450000,Maastricht,61,Vrouw,NULL,NULL
4111540423548740000,Roermond,36,Vrouw,NULL,NULL
-7046561580290130000,Sittard-Geleen,55,Man,NULL,NULL
2087808481663140000,Maastricht,20,Vrouw,NULL,NULL
1791517015270970000,Eindhoven,37,Vrouw,NULL,NULL
-7804771235938310000,Heerlen,59,Man,NULL,NULL
567041819759191000,Eindhoven,44,Man,NULL,NULL
-1667280442842630000,Roermond,48,Vrouw,NULL,NULL
8446497951411020000,Heerlen,43,Vrouw,NULL,NULL
9124613993021590000,Eindhoven,51,Man,NULL,NULL
-2747414888059230000,Sittard-Geleen,64,Vrouw,NULL,NULL
5978579349601860000,Maastricht,31,Vrouw,NULL,NULL
-6390961317006390000,Sittard-Geleen,48,Vrouw,NULL,NULL
-4277824714801550000,Sittard-Geleen,31,Man,NULL,NULL
-4560334474448530000,Eindhoven,58,Vrouw,NULL,NULL
4183301237528960000,Roermond,26,Man,NULL,NULL
1053825517451180000,Maastricht,33,Vrouw,NULL,NULL
5591156611431510000,Sittard-Geleen,62,Man,NULL,NULL
8243347926978650000,Eindhoven,54,Vrouw,NULL,NULL
1658041150296290000,Roermond,48,Man,NULL,NULL
-6530946407481440000,Sittard-Geleen,53,Vrouw,NULL,NULL
884671527090424000,Maastricht,43,Vrouw,NULL,NULL
-6552581517800770000,Heerlen,56,Vrouw,NULL,NULL
5250025479262590000,Maastricht,54,Man,NULL,NULL
